threshold,total,goods,bads,profit,n_total,n_goods,n_bads,n_profit
0.963,4215,3969,246,71520,0.8475769153428514,0.8652714192282538,0.6373056994818653,0.6671641791044776
0.962,4226,3978,248,70240,0.849788859843153,0.8672334859385219,0.6424870466321243,0.655223880597015
0.961,4239,3988,251,68040,0.8524029760707822,0.8694135600610421,0.6502590673575129,0.6347014925373134
0.96,4252,3997,255,64760,0.8550170922984114,0.8713756267713102,0.6606217616580311,0.6041044776119403
0.959,4267,4008,259,61640,0.8580333802533682,0.8737737083060824,0.6709844559585493,0.575
0.958,4279,4019,260,61520,0.8604464106173336,0.8761717898408546,0.6735751295336787,0.5738805970149253
0.957,4287,4026,261,61080,0.8620550975266439,0.8776978417266187,0.6761658031088082,0.5697761194029851
0.956,4302,4038,264,59040,0.8650713854816007,0.8803139306736429,0.6839378238341969,0.5507462686567164
0.955,4313,4047,266,57760,0.8672833299819023,0.882275997383911,0.689119170984456,0.5388059701492537
0.954,4318,4051,267,57080,0.8682887593002212,0.8831480270329192,0.6917098445595855,0.5324626865671642
0.953,4326,4059,267,57720,0.8698974462095315,0.8848920863309353,0.6917098445595855,0.5384328358208955
0.952,4337,4066,271,54280,0.8721093907098331,0.8864181382166993,0.7020725388601037,0.5063432835820896
0.951,4341,4070,271,54600,0.8729137341644883,0.8872901678657075,0.7020725388601037,0.5093283582089553
0.95,4349,4077,272,54160,0.8745224210737985,0.8888162197514715,0.7046632124352331,0.505223880597015
0.949,4362,4090,272,55200,0.8771365373014277,0.8916503161107477,0.7046632124352331,0.5149253731343284
0.948,4371,4097,274,53760,0.8789463100744017,0.8931763679965119,0.7098445595854922,0.5014925373134328
0.947,4374,4100,274,54000,0.8795495676653932,0.8938303902332679,0.7098445595854922,0.503731343283582
0.946,4384,4108,276,52640,0.881560426302031,0.8955744495312841,0.7150259067357513,0.491044776119403
0.945,4390,4113,277,52040,0.8827669414840137,0.8966644865925442,0.7176165803108808,0.4854477611940298
0.944,4397,4119,278,51520,0.8841745425296602,0.8979725310660562,0.7202072538860104,0.48059701492537316
0.943,4403,4124,279,50920,0.8853810577116429,0.8990625681273163,0.7227979274611399,0.475
0.942,4414,4132,282,48560,0.8875930022119445,0.9008066274253325,0.7305699481865285,0.45298507462686566
0.941,4423,4137,286,44960,0.8894027749849186,0.9018966644865926,0.7409326424870466,0.41940298507462687
0.94,4430,4142,288,43360,0.890810376030565,0.9029867015478527,0.7461139896373057,0.4044776119402985
0.939,4438,4150,288,44000,0.8924190629398753,0.9047307608458688,0.7461139896373057,0.41044776119402987
0.938,4448,4160,288,44800,0.8944299215765131,0.906910834968389,0.7461139896373057,0.417910447761194
