threshold,equal_opportunity_difference,average_abs_odds_difference,disparate_impact
0.922,0.9560000000000001,0.9025000000000001,0.944560669456067
0.921,0.9550000000000001,0.9019999999999999,0.9426485922836289
0.92,0.9560000000000001,0.905,0.9436913451511992
0.919,0.9570000000000001,0.9055,0.9447340980187696
0.918,0.9560000000000001,0.908,0.9438669438669439
0.917,0.9580000000000001,0.91,0.945945945945946
0.916,0.9580000000000001,0.9115000000000001,0.9469854469854471
0.915,0.9590000000000001,0.912,0.9469854469854471
0.914,0.9600000000000001,0.9125,0.9480249480249481
0.913,0.9600000000000001,0.914,0.9490644490644491
0.912,0.9610000000000001,0.9145,0.9490644490644491
0.911,0.9610000000000001,0.917,0.9501039501039502
0.91,0.9610000000000001,0.917,0.9501039501039502
0.909,0.9610000000000001,0.9185,0.9501039501039502
0.908,0.9590000000000001,0.9175000000000001,0.9491701244813279
0.907,0.9600000000000001,0.9195000000000001,0.9502074688796681
0.906,0.9610000000000001,0.921,0.9512448132780084
0.905,0.9610000000000001,0.9225000000000001,0.9512448132780084
0.904,0.9620000000000001,0.923,0.9522821576763486
0.903,0.9620000000000001,0.923,0.9533195020746889
0.902,0.9630000000000001,0.925,0.9533195020746889
0.901,0.9630000000000001,0.9265000000000001,0.9543568464730291
0.9,0.9630000000000001,0.9265000000000001,0.9543568464730291
0.899,0.9640000000000001,0.931,0.9553941908713693
0.898,0.9650000000000001,0.9315000000000001,0.9564315352697096
0.897,0.9660000000000001,0.9320000000000002,0.9574688796680498
0.896,0.9640000000000001,0.931,0.9555325749741469
0.895,0.9640000000000001,0.9325000000000001,0.9555325749741469
0.894,0.9650000000000001,0.933,0.9565667011375388
0.893,0.9650000000000001,0.934,0.9565667011375388
0.892,0.9650000000000001,0.9355,0.9576008273009308
0.891,0.9660000000000001,0.936,0.9586349534643227
0.89,0.967,0.938,0.9586349534643227
0.889,0.967,0.938,0.9596690796277146
0.888,0.967,0.9390000000000001,0.9596690796277146
0.887,0.968,0.9395,0.9607032057911066
0.886,0.968,0.9395,0.9607032057911066
0.885,0.968,0.9395,0.9607032057911066
0.884,0.969,0.94,0.9607032057911066
0.883,0.969,0.94,0.9617373319544985
0.882,0.97,0.9405,0.9627714581178904
0.881,0.97,0.9405,0.9627714581178904
0.88,0.968,0.9395,0.9597938144329897
0.879,0.965,0.9380000000000001,0.9578622816032889
0.878,0.966,0.94,0.9578622816032889
0.877,0.967,0.9405,0.9588900308324769
0.876,0.967,0.9405,0.9599177800616651
0.875,0.968,0.941,0.9609455292908531
0.874,0.969,0.9445,0.9619732785200412
0.873,0.969,0.9445,0.9619732785200412
0.872,0.969,0.9445,0.9619732785200412
0.871,0.97,0.945,0.9630010277492292
0.87,0.97,0.9474999999999999,0.9630010277492292
0.869,0.97,0.949,0.9630010277492292
0.868,0.97,0.949,0.9640287769784173
0.867,0.97,0.949,0.9640287769784173
0.866,0.971,0.951,0.9650565262076053
0.865,0.971,0.951,0.9650565262076053
0.864,0.971,0.951,0.9650565262076053
0.863,0.972,0.9514999999999999,0.9650565262076053
0.862,0.973,0.953,0.9660842754367934
