threshold,total,goods,bads,profit,n_total,n_goods,n_bads,n_profit
0.871,4761,4429,332,22320,0.9573697969032777,0.9655548288641814,0.8601036269430051,0.18593802065978007
0.87,4777,4440,337,18200,0.9605871707218983,0.9679529103989536,0.8730569948186528,0.15161612795734755
0.869,4777,4440,337,18200,0.9605871707218983,0.9679529103989536,0.8730569948186528,0.15161612795734755
0.868,4777,4440,337,18200,0.9605871707218983,0.9679529103989536,0.8730569948186528,0.15161612795734755
0.867,4851,4496,355,4680,0.9754675246330183,0.9801613254850665,0.9196891191709845,0.03898700433188937
0.866,4851,4496,355,4680,0.9754675246330183,0.9801613254850665,0.9196891191709845,0.03898700433188937
0.865,4851,4496,355,4680,0.9754675246330183,0.9801613254850665,0.9196891191709845,0.03898700433188937
0.864,4947,4571,376,-10320,0.9947717675447416,0.9965118814039677,0.9740932642487047,-0.08597134288570477
0.863,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.862,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.861,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.86,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.859,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.858,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.857,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.856,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.855,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.854,4948,4571,377,-11320,0.9949728534084054,0.9965118814039677,0.9766839378238342,-0.0943018993668777
0.853,4954,4574,380,-14080,0.9961793685903881,0.9971659036407238,0.9844559585492227,-0.11729423525491503
